capability_type,capability_name,due_date,target_trl,assessor,notes,vehicle_platform_id,document_url
product,Terberg: Driver-in operations (semi-trailer),2025-12-31,7,Dr. Smith,Updated target for Q4 delivery,1,https://docs.terberg.com/driver-in-operations
technical,Perception System,2025-11-15,8,Engineer Johnson,Enhanced sensor fusion requirements,5,https://docs.company.com/perception-system
technical,Path Planning,2025-12-01,6,Tech Lead Davis,Real-time optimization improvements needed,5,https://confluence.company.com/path-planning
product,Platooning,2026-03-31,5,Manager Wilson,Phase 1 convoy formation,5,
technical,Vehicle Control,2025-10-30,9,Dr. Smith,Production-ready control system,5,https://confluence.company.com/vehicle-control
technical,Localization,2025-11-30,7,Engineer Johnson,High-precision GPS integration,5,
product,Remote Vehicle Operation,,4,Tech Lead Davis,Early development phase,8,https://wiki.company.com/remote-operations
technical,Traffic Light Recognition,2026-01-15,6,Manager Wilson,Urban deployment requirements,6,
technical,Pedestrian Detection,2025-12-15,8,Dr. Smith,Safety-critical system enhancement,5,
product,Cargo Handling Automation,2026-06-30,3,Engineer Johnson,Research and development phase,5,
