Swimlane,Label,Product Feature,Platform,ODD,Environment,Trailer,Details,Next,Comments,Start Date,End Date
Actors,PF-ACT-1.1,Road vehicles: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,Y,,Oct 2025,Dec 2025
,PF-ACT-2.1,Large vehicles: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,?,,Oct 2025,Dec 2025
,PF-ACT-3.1,Motorcycles: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,?,,Oct 2025,Dec 2025
,PF-ACT-4.1,Pedestrian VRUs: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,Y,,Oct 2025,Dec 2025
,PF-ACT-5.1,Non-pedestrian VRUs: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,?,,Oct 2025,Dec 2025
,PF-ACT-6.1,Articulated vehicles: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,* Nominal behaviour,Y,,Oct 2025,Mar 2026
,PF-ACT-7.1,Mobile CHE vehicles: operate around/ regular interactions (baseline),Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,"* Nominal behaviour
* Types:
  ** Reach stacker
  ** Empty handler",Y,,Oct 2025,Mar 2026
,,,,,,,,,,,
Infrastructure,PF-INF-1.1,Localise into map: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,"* Camera
* Radar
* Lidar
* GPS available
* Static infrastructure components",Y,,Oct 2025,Dec 2025
,PF-INF-1.2,"Localise into map: pseudo-static environmental features (container stacks, cranes, etc)",Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,,Y,,Oct 2025,Feb 2026
,PF-INF-1.3,Localise into map: GPS degraded/ denied,Terberg,CFG-ODD-1,CFG-ENV-2.1,N/A,,,,Oct 2025,Feb 2026
,PF-INF-1.4,Localise into map: towing ego trailer,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Oct 2025,Dec 2025
,PF-INF-2.1,Build map of the environment: ports from overhead imagery,Terberg,CFG-ODD-1,N/A,N/A,"* From overhead imagery
* Multi-route",Y,,Oct 2025,Dec 2025
,PF-INF-3.1,Mapped lane infrastructure: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,* Multi-lane roads,Y,,Oct 2025,Dec 2025
,PF-INF-4.1,Mapped uncontrolled intersections: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,"* T-junction
* Major-minor intersections
* 4-way stops",Y,,Oct 2025,Dec 2025
,PF-INF-5.1,Mapped traffic light intersections: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Oct 2025,Dec 2025
,PF-INF-5.2,Mapped traffic light intersections: City Terminals,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Oct 2025,Nov 2025
,PF-INF-5.3,Mapped traffic light intersections: Jebel Ali,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Oct 2025,Dec 2025
,PF-INF-6.1,Mapped gated intersections: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Jan 2026,Mar 2026
,PF-INF-6.2,Mapped gated intersection: City Terminals,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,,Y,,Oct 2025,Nov 2025
,PF-INF-7.1,Pseudo-static infrastructure: Pinning Stations,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,* Pinning station,,,Jan 2026,Mar 2026
,PF-INF-8.1,Surfaces: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,"* Asphalt
  ** Dry
  ** Wet
* Voids
  ** NONE",Y,,Jan 2026,Mar 2026
,PF-INF-9.1,Avoided (ie drive around) static objects: baseline,Terberg,CFG-ODD-1,CFG-ENV-2.1,CFG-CGO-1,"* Low objects
  ** >20cm height
* Street Furniture
  ** Cones > 20cm
  ** Curbs > 10cm
  ** Barriers >10cm",Y,,Jan 2026,Mar 2026
